fare_id,route_id,origin_id,destination_id,contains_id
39,,WDUB,CAST,
39,,WDUB,DUBL,
137,,WDUB,PITT,
127,,WDUB,NCON,
128,,WDUB,COLM,
123,,WDUB,CONC,
115,,WDUB,PHIL,
112,,WDUB,WCRK,
104,,WDUB,LAFY,
97,,WDUB,ORIN,
87,,WDUB,ROCK,
87,,WDUB,WOAK,
119,,WDUB,EMBR,
119,,WDUB,MONT,
119,,WDUB,POWL,
119,,WDUB,CIVC,
121,,WDUB,16TH,
122,,WDUB,24TH,
125,,WDUB,GLEN,
126,,WDUB,BALB,
129,,WDUB,DALY,
196,,WDUB,OAKL,
106,,RICH,SSAN,
111,,RICH,SBRN,
203,,RICH,SFIA,
118,,RICH,MLBR,
103,,RICH,WDUB,
115,,RICH,RICH,
39,,RICH,DELN,
39,,RICH,PLZA,
39,,RICH,NBRK,
39,,RICH,DBRK,
39,,RICH,ASHB,
54,,RICH,MCAR,
58,,RICH,19TH,
58,,RICH,12TH,
58,,RICH,LAKE,
64,,RICH,FTVL,
68,,RICH,COLS,
74,,RICH,SANL,
79,,RICH,BAYF,
84,,RICH,HAYW,
90,,RICH,SHAY,
100,,RICH,UCTY,
107,,RICH,FRMT,
84,,RICH,CAST,
106,,RICH,DUBL,
107,,RICH,PITT,
97,,RICH,NCON,
102,,RICH,COLM,
93,,RICH,CONC,
85,,RICH,PHIL,
82,,RICH,WCRK,
75,,RICH,LAFY,
67,,RICH,ORIN,
54,,RICH,ROCK,
61,,RICH,WOAK,
93,,RICH,EMBR,
93,,RICH,MONT,
93,,RICH,POWL,
93,,RICH,CIVC,
95,,RICH,16TH,
96,,RICH,24TH,
99,,RICH,GLEN,
100,,RICH,BALB,
103,,RICH,DALY,
188,,RICH,OAKL,
102,,DELN,SSAN,
107,,DELN,SBRN,
199,,DELN,SFIA,
113,,DELN,MLBR,
99,,DELN,WDUB,
39,,DELN,RICH,
115,,DELN,DELN,
39,,DELN,PLZA,
39,,DELN,NBRK,
39,,DELN,DBRK,
39,,DELN,ASHB,
47,,DELN,MCAR,
51,,DELN,19TH,
51,,DELN,12TH,
51,,DELN,LAKE,
60,,DELN,FTVL,
64,,DELN,COLS,
70,,DELN,SANL,
74,,DELN,BAYF,
80,,DELN,HAYW,
86,,DELN,SHAY,
96,,DELN,UCTY,
103,,DELN,FRMT,
80,,DELN,CAST,
102,,DELN,DUBL,
104,,DELN,PITT,
93,,DELN,NCON,
98,,DELN,COLM,
89,,DELN,CONC,
81,,DELN,PHIL,
78,,DELN,WCRK,
71,,DELN,LAFY,
64,,DELN,ORIN,
48,,DELN,ROCK,
54,,DELN,WOAK,
89,,DELN,EMBR,
89,,DELN,MONT,
89,,DELN,POWL,
89,,DELN,CIVC,
91,,DELN,16TH,
92,,DELN,24TH,
95,,DELN,GLEN,
96,,DELN,BALB,
98,,DELN,DALY,
184,,DELN,OAKL,
98,,PLZA,SSAN,
104,,PLZA,SBRN,
196,,PLZA,SFIA,
110,,PLZA,MLBR,
96,,PLZA,WDUB,
39,,PLZA,RICH,
39,,PLZA,DELN,
115,,PLZA,PLZA,
39,,PLZA,NBRK,
39,,PLZA,DBRK,
39,,PLZA,ASHB,
41,,PLZA,MCAR,
45,,PLZA,19TH,
45,,PLZA,12TH,
45,,PLZA,LAKE,
55,,PLZA,FTVL,
61,,PLZA,COLS,
66,,PLZA,SANL,
71,,PLZA,BAYF,
77,,PLZA,HAYW,
83,,PLZA,SHAY,
93,,PLZA,UCTY,
99,,PLZA,FRMT,
77,,PLZA,CAST,
99,,PLZA,DUBL,
100,,PLZA,PITT,
90,,PLZA,NCON,
95,,PLZA,COLM,
86,,PLZA,CONC,
78,,PLZA,PHIL,
75,,PLZA,WCRK,
68,,PLZA,LAFY,
59,,PLZA,ORIN,
42,,PLZA,ROCK,
49,,PLZA,WOAK,
86,,PLZA,EMBR,
86,,PLZA,MONT,
86,,PLZA,POWL,
86,,PLZA,CIVC,
87,,PLZA,16TH,
88,,PLZA,24TH,
91,,PLZA,GLEN,
93,,PLZA,BALB,
95,,PLZA,DALY,
181,,PLZA,OAKL,
95,,NBRK,SSAN,
100,,NBRK,SBRN,
192,,NBRK,SFIA,
106,,NBRK,MLBR,
92,,NBRK,WDUB,
39,,NBRK,RICH,
39,,NBRK,DELN,
39,,NBRK,PLZA,
115,,NBRK,NBRK,
39,,NBRK,DBRK,
39,,NBRK,ASHB,
39,,NBRK,MCAR,
39,,NBRK,19TH,
39,,NBRK,12TH,
39,,NBRK,LAKE,
48,,NBRK,FTVL,
55,,NBRK,COLS,
63,,NBRK,SANL,
67,,NBRK,BAYF,
73,,NBRK,HAYW,
79,,NBRK,SHAY,
89,,NBRK,UCTY,
96,,NBRK,FRMT,
73,,NBRK,CAST,
95,,NBRK,DUBL,
97,,NBRK,PITT,
86,,NBRK,NCON,
91,,NBRK,COLM,
82,,NBRK,CONC,
74,,NBRK,PHIL,
71,,NBRK,WCRK,
64,,NBRK,LAFY,
52,,NBRK,ORIN,
39,,NBRK,ROCK,
43,,NBRK,WOAK,
82,,NBRK,EMBR,
82,,NBRK,MONT,
82,,NBRK,POWL,
82,,NBRK,CIVC,
84,,NBRK,16TH,
85,,NBRK,24TH,
88,,NBRK,GLEN,
89,,NBRK,BALB,
91,,NBRK,DALY,
175,,NBRK,OAKL,
93,,DBRK,SSAN,
99,,DBRK,SBRN,
191,,DBRK,SFIA,
105,,DBRK,MLBR,
91,,DBRK,WDUB,
39,,DBRK,RICH,
39,,DBRK,DELN,
39,,DBRK,PLZA,
39,,DBRK,NBRK,
115,,DBRK,DBRK,
39,,DBRK,ASHB,
39,,DBRK,MCAR,
39,,DBRK,19TH,
39,,DBRK,12TH,
39,,DBRK,LAKE,
46,,DBRK,FTVL,
52,,DBRK,COLS,
62,,DBRK,SANL,
67,,DBRK,BAYF,
72,,DBRK,HAYW,
78,,DBRK,SHAY,
88,,DBRK,UCTY,
95,,DBRK,FRMT,
72,,DBRK,CAST,
94,,DBRK,DUBL,
95,,DBRK,PITT,
85,,DBRK,NCON,
90,,DBRK,COLM,
81,,DBRK,CONC,
73,,DBRK,PHIL,
70,,DBRK,WCRK,
62,,DBRK,LAFY,
50,,DBRK,ORIN,
39,,DBRK,ROCK,
40,,DBRK,WOAK,
80,,DBRK,EMBR,
80,,DBRK,MONT,
80,,DBRK,POWL,
80,,DBRK,CIVC,
83,,DBRK,16TH,
83,,DBRK,24TH,
86,,DBRK,GLEN,
88,,DBRK,BALB,
90,,DBRK,DALY,
172,,DBRK,OAKL,
92,,ASHB,SSAN,
97,,ASHB,SBRN,
189,,ASHB,SFIA,
103,,ASHB,MLBR,
89,,ASHB,WDUB,
39,,ASHB,RICH,
39,,ASHB,DELN,
39,,ASHB,PLZA,
39,,ASHB,NBRK,
39,,ASHB,DBRK,
115,,ASHB,ASHB,
39,,ASHB,MCAR,
39,,ASHB,19TH,
39,,ASHB,12TH,
39,,ASHB,LAKE,
43,,ASHB,FTVL,
49,,ASHB,COLS,
58,,ASHB,SANL,
65,,ASHB,BAYF,
70,,ASHB,HAYW,
76,,ASHB,SHAY,
86,,ASHB,UCTY,
93,,ASHB,FRMT,
70,,ASHB,CAST,
